Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value,Revenue USD Mil,Gross Margin %,Operating Income USD Mil,Operating Margin %,Net Income USD Mil,Earnings Per Share USD,Shares Mil,Book Value Per Share * USD,Operating Cash Flow USD Mil,Cap Spending USD Mil,Free Cash Flow USD Mil,Free Cash Flow Per Share * USD,Working Capital USD Mil,COGS,Gross Margin,SG&A,R&D,Operating Margin,Net Int Inc & Other,EBT Margin,Net Margin %,Asset Turnover (Average),Return on Assets %,Return on Equity %,Return on Invested Capital %,Interest Coverage,Year over Year,3-Year Average,5-Year Average,10-Year Average,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover
4/20/18,1991.24,2007.81,1984.85,2.38422E+13,1036545766,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/19/18,2007.47,2014.97,1999.49,2.40364E+13,2702403562,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/18/18,2018.34,2024.95,2014.75,2.41666E+13,5066719,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/17/18,2016.12,2021.11,2005.68,2.41403E+13,31365742,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/16/18,1994.98,2001.11,1984.96,2.38871E+13,589304381,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/13/18,1978.84,1997.22,1970.92,2.36939E+13,556918181,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/12/18,1985.57,1993.32,1978.16,2.37745E+13,2398693506,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/11/18,1969.65,1982.76,1967.47,2.35842E+13,784438073,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/10/18,1979.06,1985.27,1964.16,2.36916E+13,646225135,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/9/18,1945.85,1975.39,1944.38,2.32941E+13,5861068884,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
